ResultTable(results=
                                       reconstructor            test_data                     measure_values                                                                                                                                                                                                                                                                                                                                                                                      misc
task_ind sub_task_ind                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
         32            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 38.16, ssim: 0.9282}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 17000}}
         33            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 38.18, ssim: 0.9284}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 18000}}
         34            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 38.22, ssim: 0.9288}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 19000}}
         35            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 38.21, ssim: 0.9285}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 20000}}
         36            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.94, ssim: 0.9054}    {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': True, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 3000}}
         37            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 37.08, ssim: 0.908}    {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': True, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 4000}}
         38            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.28, ssim: 0.9123}    {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': True, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 5000}}
         39            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.39, ssim: 0.9151}    {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': True, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 6000}}
         40            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.42, ssim: 0.9156}    {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': True, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 7000}}
         41            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.55, ssim: 0.9183}    {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': True, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 8000}}
         42            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.59, ssim: 0.9186}    {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': True, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 9000}}
         43            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.72, ssim: 0.9216}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': True, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 10000}}
         44            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 37.84, ssim: 0.923}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': True, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 11000}}
