ResultTable(results=
                                       reconstructor            test_data                     measure_values                                                                                                                                                                                                                                                                                                                                           misc
task_ind sub_task_ind                                                                                                                                                                                                                                                                                                                                                                                                                                      
         22            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.17, ssim: 0.8567}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 8000}}
         23            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 27.2, ssim: 0.8576}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 9000}}
         24            DeepCapsulePriorReconstructor  validation part 0:5    mean: {psnr: 27.2, ssim: 0.858}  {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 10000}}
         25            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 27.19, ssim: 0.858}  {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 11000}}
         26            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.19, ssim: 0.8581}  {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 12000}}
         27            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 27.19, ssim: 0.858}  {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 13000}}
         28            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.18, ssim: 0.8581}  {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 14000}}
         29            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.17, ssim: 0.8581}  {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 15000}}
         30            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 21.01, ssim: 0.6433}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 1000}}
         31            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 23.96, ssim: 0.7483}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 2000}}
         32            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 24.38, ssim: 0.7778}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 3000}}
         33            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 24.74, ssim: 0.8004}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 4000}}
         34            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.34, ssim: 0.8204}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 5000}}
         35            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.56, ssim: 0.8305}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 6000}}
         36            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.65, ssim: 0.8353}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 7000}}
         37            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.73, ssim: 0.8407}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 8000}}
         38            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 26.8, ssim: 0.8435}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 9000}}
         39            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 26.91, ssim: 0.848}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 10000}}
         40            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.97, ssim: 0.8513}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 11000}}
         41            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.98, ssim: 0.8525}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 12000}}
         42            DeepCapsulePriorReconstructor  validation part 0:5     mean: {psnr: 27, ssim: 0.8537}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 13000}}
         43            DeepCapsulePriorReconstructor  validation part 0:5     mean: {psnr: 27, ssim: 0.8542}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 14000}}
         44            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.01, ssim: 0.8548}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 15000}}
         45            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 23.94, ssim: 0.7155}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 1000}}
         46            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 25.67, ssim: 0.8016}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 2000}}
         47            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 26.5, ssim: 0.8277}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 3000}}
         48            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.64, ssim: 0.8354}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 4000}}
         49            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.94, ssim: 0.8447}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 5000}}
